dataset,fold_id,pool_index,part
aptos2019,0,0,train_sub
aptos2019,0,2,train_sub
aptos2019,0,3,train_sub
aptos2019,0,4,train_sub
aptos2019,0,5,train_sub
aptos2019,0,6,train_sub
aptos2019,0,7,train_sub
aptos2019,0,8,train_sub
aptos2019,0,9,train_sub
aptos2019,0,10,train_sub
aptos2019,0,11,train_sub
aptos2019,0,12,train_sub
aptos2019,0,13,train_sub
aptos2019,0,14,train_sub
aptos2019,0,16,train_sub
aptos2019,0,18,train_sub
aptos2019,0,19,train_sub
aptos2019,0,20,train_sub
aptos2019,0,21,train_sub
aptos2019,0,22,train_sub
aptos2019,0,23,train_sub
aptos2019,0,25,train_sub
aptos2019,0,26,train_sub
aptos2019,0,28,train_sub
aptos2019,0,29,train_sub
aptos2019,0,30,train_sub
aptos2019,0,33,train_sub
aptos2019,0,35,train_sub
aptos2019,0,36,train_sub
aptos2019,0,37,train_sub
aptos2019,0,39,train_sub
aptos2019,0,40,train_sub
aptos2019,0,41,train_sub
aptos2019,0,42,train_sub
aptos2019,0,44,train_sub
aptos2019,0,45,train_sub
aptos2019,0,46,train_sub
aptos2019,0,47,train_sub
aptos2019,0,51,train_sub
aptos2019,0,52,train_sub
aptos2019,0,53,train_sub
aptos2019,0,54,train_sub
aptos2019,0,55,train_sub
aptos2019,0,56,train_sub
aptos2019,0,57,train_sub
aptos2019,0,58,train_sub
aptos2019,0,59,train_sub
aptos2019,0,61,train_sub
aptos2019,0,62,train_sub
aptos2019,0,63,train_sub
aptos2019,0,64,train_sub
aptos2019,0,65,train_sub
aptos2019,0,66,train_sub
aptos2019,0,67,train_sub
aptos2019,0,68,train_sub
aptos2019,0,69,train_sub
aptos2019,0,70,train_sub
aptos2019,0,71,train_sub
aptos2019,0,72,train_sub
aptos2019,0,73,train_sub
aptos2019,0,74,train_sub
aptos2019,0,75,train_sub
aptos2019,0,76,train_sub
aptos2019,0,78,train_sub
aptos2019,0,79,train_sub
aptos2019,0,80,train_sub
aptos2019,0,81,train_sub
aptos2019,0,82,train_sub
aptos2019,0,83,train_sub
aptos2019,0,84,train_sub
aptos2019,0,85,train_sub
aptos2019,0,86,train_sub
aptos2019,0,87,train_sub
aptos2019,0,88,train_sub
aptos2019,0,89,train_sub
aptos2019,0,90,train_sub
aptos2019,0,91,train_sub
aptos2019,0,92,train_sub
aptos2019,0,93,train_sub
aptos2019,0,97,train_sub
aptos2019,0,98,train_sub
aptos2019,0,99,train_sub
aptos2019,0,100,train_sub
aptos2019,0,103,train_sub
aptos2019,0,104,train_sub
aptos2019,0,105,train_sub
aptos2019,0,106,train_sub
aptos2019,0,107,train_sub
aptos2019,0,108,train_sub
aptos2019,0,110,train_sub
aptos2019,0,111,train_sub
aptos2019,0,113,train_sub
aptos2019,0,114,train_sub
aptos2019,0,117,train_sub
aptos2019,0,118,train_sub
aptos2019,0,122,train_sub
aptos2019,0,124,train_sub
aptos2019,0,126,train_sub
aptos2019,0,127,train_sub
aptos2019,0,128,train_sub
aptos2019,0,129,train_sub
aptos2019,0,131,train_sub
aptos2019,0,132,train_sub
aptos2019,0,134,train_sub
aptos2019,0,135,train_sub
aptos2019,0,136,train_sub
aptos2019,0,137,train_sub
aptos2019,0,138,train_sub
aptos2019,0,139,train_sub
aptos2019,0,141,train_sub
aptos2019,0,142,train_sub
aptos2019,0,144,train_sub
aptos2019,0,145,train_sub
aptos2019,0,146,train_sub
aptos2019,0,147,train_sub
aptos2019,0,148,train_sub
aptos2019,0,149,train_sub
aptos2019,0,150,train_sub
aptos2019,0,151,train_sub
aptos2019,0,152,train_sub
aptos2019,0,156,train_sub
aptos2019,0,158,train_sub
aptos2019,0,160,train_sub
aptos2019,0,162,train_sub
aptos2019,0,163,train_sub
aptos2019,0,164,train_sub
aptos2019,0,165,train_sub
aptos2019,0,169,train_sub
aptos2019,0,170,train_sub
aptos2019,0,172,train_sub
aptos2019,0,173,train_sub
aptos2019,0,174,train_sub
aptos2019,0,175,train_sub
aptos2019,0,178,train_sub
aptos2019,0,179,train_sub
aptos2019,0,182,train_sub
aptos2019,0,183,train_sub
aptos2019,0,184,train_sub
aptos2019,0,185,train_sub
aptos2019,0,186,train_sub
aptos2019,0,188,train_sub
aptos2019,0,189,train_sub
aptos2019,0,190,train_sub
aptos2019,0,191,train_sub
aptos2019,0,192,train_sub
aptos2019,0,195,train_sub
aptos2019,0,198,train_sub
aptos2019,0,199,train_sub
aptos2019,0,202,train_sub
aptos2019,0,203,train_sub
aptos2019,0,206,train_sub
aptos2019,0,208,train_sub
aptos2019,0,210,train_sub
aptos2019,0,211,train_sub
aptos2019,0,212,train_sub
aptos2019,0,213,train_sub
aptos2019,0,214,train_sub
aptos2019,0,215,train_sub
aptos2019,0,216,train_sub
aptos2019,0,217,train_sub
aptos2019,0,218,train_sub
aptos2019,0,219,train_sub
aptos2019,0,220,train_sub
aptos2019,0,222,train_sub
aptos2019,0,224,train_sub
aptos2019,0,225,train_sub
aptos2019,0,227,train_sub
aptos2019,0,228,train_sub
aptos2019,0,229,train_sub
aptos2019,0,230,train_sub
aptos2019,0,231,train_sub
aptos2019,0,232,train_sub
aptos2019,0,233,train_sub
aptos2019,0,234,train_sub
aptos2019,0,235,train_sub
aptos2019,0,236,train_sub
aptos2019,0,237,train_sub
aptos2019,0,239,train_sub
aptos2019,0,240,train_sub
aptos2019,0,241,train_sub
aptos2019,0,242,train_sub
aptos2019,0,245,train_sub
aptos2019,0,247,train_sub
aptos2019,0,248,train_sub
aptos2019,0,250,train_sub
aptos2019,0,251,train_sub
aptos2019,0,252,train_sub
aptos2019,0,254,train_sub
aptos2019,0,255,train_sub
aptos2019,0,256,train_sub
aptos2019,0,257,train_sub
