source_id,source_citation,source_doi,source_arxiv,source_pdf_url,pdf_sha256,pdf_bytes,retrieved_utc,note,matrix_id,table_label,page_printed,page_pdf_index,task,row_axis,col_axis,verified_in_pdf_text,verification_status,caution,cell_type,row_idx,row_name,col_idx,col_name,count
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,0,No,0,No,1469
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,0,No,1,Mild,4
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,0,No,2,Moderate,5
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,0,No,3,Severe,0
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,0,No,4,Proliferative,0
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,row_total,0,No,-1,ALL,1478
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,1,Mild,0,No,58
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,1,Mild,1,Mild,62
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,1,Mild,2,Moderate,5
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,1,Mild,3,Severe,0
S8-49,"Krause J, Gulshan V, Rahimy E, Karth P, Widner K, Corrado GS, Peng L, Webster DR. Grader variability and the importance of reference standards for evaluating machine learning models for diabetic retinopathy. Ophthalmology 2018;125(8):1264-1272.",10.1016/j.ophtha.2018.01.034,arXiv:1710.01711v3,https://arxiv.org/pdf/1710.01711v3,56bfd032f71a41ca9b2e1f772ac11ef69d18d82cc89a5ae161a4b27af4305327,621050,2026-09-08T07:05:58Z,탐색적 · exploratory (w11 · 판정 아님 / not a verdict),T2_retina_specialist_majority,Table 2,14,13,DR,Adjudicated consensus of retina specialists (reference standard),"Majority decision of 3 retinal specialists, before adjudication",True,ok,자기 일치 상한 — 이 3인은 판정 표준을 만든 바로 그 망막 전문의들이다. 독립 패널이 아니므로 0.793 은 상한이다.,cell,1,Mild,4,Proliferative,0
